| id.Cliente | n.Prodotti | Tempo TOT Super | Tempo TOT in Coda | n.Code Visitate |
| 0 | 6 | 3.182 | 1.999 | 1 |
| 3 | 77 | 2.203 | 2.2 | 1 |
| 6 | 5 | 1.994 | 1.921 | 1 |
| 27 | 39 | 1.896 | 1.763 | 1 |
| 28 | 44 | 1.487 | 1.347 | 1 |
| 40 | 22 | 1.392 | 1.170 | 1 |
| 10 | 96 | 3.15 | 1.33 | 1 |
| 2 | 24 | 4.402 | 1.232 | 1 |
| 7 | 74 | 3.230 | 1.247 | 1 |
| 8 | 89 | 4.158 | 1.971 | 1 |
| 11 | 74 | 4.27 | 2.44 | 1 |
| 31 | 97 | 2.263 | 2.196 | 1 |
| 12 | 53 | 4.534 | 2.550 | 1 |
| 16 | 67 | 4.756 | 2.772 | 1 |
| 29 | 52 | 2.828 | 2.736 | 1 |
| 26 | 33 | 2.933 | 2.843 | 1 |
| 9 | 84 | 5.651 | 3.667 | 1 |
| 21 | 93 | 3.794 | 3.704 | 1 |
| 42 | 18 | 4.348 | 3.908 | 1 |
| 17 | 96 | 6.129 | 3.853 | 1 |
| 20 | 8 | 4.46 | 3.956 | 1 |
| 15 | 27 | 4.98 | 3.998 | 1 |
| 37 | 15 | 4.693 | 4.166 | 1 |
| 30 | 33 | 4.323 | 4.232 | 1 |
| 36 | 4 | 4.353 | 4.246 | 1 |
| 39 | 1 | 4.329 | 4.306 | 1 |
| 23 | 93 | 5.80 | 4.949 | 1 |
| 45 | 71 | 5.106 | 5.12 | 1 |
| 22 | 83 | 5.315 | 5.174 | 1 |
| 47 | 32 | 5.441 | 5.302 | 1 |
| 13 | 49 | 5.685 | 5.593 | 1 |
| 18 | 36 | 5.716 | 5.582 | 1 |
| 33 | 32 | 5.799 | 5.639 | 1 |
| 49 | 50 | 6.218 | 6.142 | 1 |
| 24 | 12 | 6.389 | 6.278 | 1 |
| 41 | 64 | 6.336 | 6.268 | 1 |
| 32 | 12 | 6.570 | 6.441 | 1 |
| 14 | 98 | 6.874 | 6.714 | 1 |
| 5 | 20 | 6.882 | 6.752 | 1 |
| 43 | 36 | 7.711 | 7.113 | 1 |
| 34 | 47 | 7.413 | 7.264 | 1 |
| 38 | 58 | 7.898 | 7.704 | 1 |
| 1 | 75 | 8.219 | 8.41 | 1 |
| 35 | 25 | 8.514 | 8.336 | 1 |
| 19 | 49 | 9.57 | 8.874 | 1 |
| 46 | 5 | 9.71 | 8.979 | 1 |
| 48 | 7 | 9.284 | 9.99 | 1 |
| 44 | 41 | 9.724 | 9.558 | 1 |
| 4 | 62 | 11.162 | 10.986 | 1 |
| 25 | 44 | 11.178 | 10.989 | 1 |
| 52 | 53 | 1.788 | 1.601 | 1 |
| 51 | 79 | 1.922 | 0.878 | 1 |
| 55 | 8 | 0.879 | 0.269 | 1 |
| 58 | 6 | 1.556 | 1.422 | 1 |
| 50 | 11 | 2.533 | 1.487 | 1 |
| 61 | 86 | 1.794 | 1.721 | 1 |
| 60 | 91 | 1.830 | 1.88 | 1 |
| 54 | 55 | 3.128 | 2.84 | 1 |
| 59 | 29 | 2.157 | 1.416 | 1 |
| 64 | 79 | 2.390 | 2.181 | 1 |
| 63 | 52 | 2.717 | 1.973 | 1 |
| 53 | 61 | 3.782 | 2.737 | 1 |
| 56 | 91 | 2.760 | 2.620 | 1 |
| 67 | 20 | 2.980 | 2.373 | 1 |
| 62 | 60 | 3.39 | 2.429 | 1 |
| 77 | 21 | 2.625 | 2.559 | 1 |
| 70 | 56 | 3.312 | 2.570 | 1 |
| 80 | 2 | 2.628 | 2.562 | 1 |
| 57 | 58 | 3.394 | 2.651 | 1 |
| 84 | 11 | 2.644 | 2.499 | 1 |
| 65 | 45 | 3.731 | 2.988 | 1 |
| 69 | 79 | 3.876 | 3.268 | 1 |
| 75 | 50 | 3.201 | 3.65 | 1 |
| 72 | 32 | 3.485 | 3.216 | 1 |
| 81 | 60 | 3.290 | 2.680 | 1 |
| 66 | 38 | 4.417 | 3.676 | 1 |
| 76 | 61 | 4.5 | 3.869 | 1 |
| 89 | 95 | 3.461 | 3.418 | 1 |
| 68 | 54 | 5.8 | 4.264 | 1 |
| 85 | 88 | 4.205 | 3.598 | 1 |
| 78 | 20 | 4.579 | 3.834 | 1 |
| 82 | 64 | 4.689 | 4.408 | 1 |
| 73 | 13 | 4.860 | 4.113 | 1 |
| 71 | 63 | 4.943 | 4.808 | 1 |
| 97 | 70 | 4.221 | 4.60 | 1 |
| 87 | 61 | 4.949 | 4.481 | 1 |
| 74 | 29 | 5.281 | 5.66 | 1 |
| 88 | 47 | 4.628 | 4.438 | 1 |
| 91 | 34 | 4.861 | 4.806 | 1 |
| 90 | 45 | 5.352 | 5.294 | 1 |
| 86 | 86 | 5.909 | 5.445 | 1 |
| 93 | 36 | 5.791 | 5.666 | 1 |
| 83 | 40 | 6.503 | 5.890 | 1 |
| 96 | 84 | 6.669 | 6.510 | 1 |
| 79 | 80 | 7.630 | 6.749 | 1 |
| 92 | 55 | 7.357 | 7.336 | 1 |
| 94 | 97 | 7.703 | 7.520 | 1 |
| 95 | 35 | 7.755 | 7.615 | 1 |
